lat,lng,HAZ_CLASS
-333356.4611,-50449.7871,1
-333159.7033,-50619.312,1
-333482.7789,-34976.3613,1
-332924.6659,60817.6275,1
-331937.3847,-53753.4078,1
-332100.138,-57436.762,1
-339702.2933,146725.1079,1
-332336.3968,82582.1181,1
-337754.3308,94656.5608,1
-330516.1448,-51975.5039,1
-330200.8873,153529.4883,1
-329408.1579,-53500.4386,1
-333372.5319,69886.7434,1
-328016.5517,-53066.604,1
-327729.4849,-43636.8808,1
-327748.045,-43467.3781,1
-327730.7394,-53408.9076,1
-327312.1078,159089.1385,1
-335968.8634,-36707.1271,1
-326749.3283,-54986.2647,1
-327154.4861,-54634.9452,1
-326675.991,-55052.7371,1
-326633.2443,-55100.4904,1
-326587.8646,-55113.8467,1
-326449.2131,-55019.9864,1
-328448.3371,-56819.9853,1
-325707.5653,160762.9753,1
-325046.5909,125605.9091,1
-325067.1502,124655.9898,1
-324223.7116,-47133.8176,1
-324671.2379,51000.2412,1
-324818.9248,-56291.1964,1
-323840.7444,-57353.8631,1
-323836.1281,126081.2244,1
-322706.1148,-57345.4164,1
-326691.2451,-49319.3062,1
-322142.7805,143831.7871,1
-321720.3518,159960.7643,1
-322153.3019,132977.3899,1
-321626.9476,-50916.1371,1
-321592.2943,-50857.305,1
-321572.3518,160054.0242,1
-321529.8891,160112.9237,1
-327658.0409,157934.7179,1
-321379.6552,146409.3103,1
-321307.6984,-50526.7145,1
-320871.5714,-50167.3329,1
-321171.4933,163196.7261,1
-320694.9894,-50101.1266,1
-320992.1341,150423.1098,1
-320546.797,-49834.2066,1
-320628.9735,-49973.4896,1
-320518.0116,-49802.1821,1
-320694.5745,45910.8511,1
-320427.3223,-49525.0565,1
-320395.375,-49599.1373,1
-320364.999,47876.6172,1
-320368.1464,48465.7969,1
-320044.472,165222.1013,1
-319914.9817,49891.6286,1
-320009.8116,-50585.6966,1
-319897.9488,139029.8053,1
-328941.753,111669.5825,1
-319075.5753,128100.8684,1
-318729.0016,-49273.4068,1
-318689.9888,128139.3078,1
-318619.2362,48065.4322,1
-318456.5728,139604.9987,1
-318882.6107,-50051.134,1
-318866.0771,164873.0618,1
-318056.3281,48570.1788,1
-318459.7583,137354.9877,1
-317340.0567,166121.7028,1
-316530.506,48940.8342,1
-316215.8276,122192.1724,1
-313928.7161,-64361.2608,1
-316596.5185,-49278.6827,1
